100 1000
77 4 500
77 15 927
77 25 901
77 34 8
77 36 151
77 42 311
77 49 377
77 58 84
77 59 781
77 63 547
77 72 637
77 81 619
77 88 333
78 6 819
78 20 194
78 28 156
78 66 20
78 68 573
78 72 473
78 73 475
78 78 560
78 82 401
78 89 644
78 98 371
79 12 919
79 19 459
79 22 394
79 31 203
79 34 868
79 35 837
79 37 697
79 40 570
79 46 641
79 47 958
79 48 198
79 49 203
79 64 815
79 67 206
79 73 354
79 75 840
79 83 469
79 94 680
80 2 229
80 6 216
80 12 756
80 20 85
80 21 136
80 22 887
80 50 520
80 51 226
80 55 483
80 59 838
80 64 114
80 80 659
80 81 995
80 96 868
80 99 193
81 0 310
81 1 561
81 26 442
81 28 445
81 49 205
81 52 457
81 60 289
81 63 294
81 77 326
81 80 48
81 90 894
81 94 407
82 3 168
82 9 152
82 12 484
82 14 353
82 16 337
82 17 312
82 35 949
82 39 300
82 52 94
82 53 687
82 61 807
82 65 396
82 68 222
82 74 219
82 75 129
82 77 593
82 79 230
83 7 551
83 14 811
83 21 249
83 24 407
83 33 462
83 37 929
83 40 756
83 49 479
83 52 307
83 55 113
83 56 513
83 60 466
83 64 519
83 78 45
84 15 720
84 21 590
84 24 956
84 31 58
84 40 684
84 53 447
84 55 827
84 58 453
84 79 968
84 86 15
84 94 924
85 13 554
85 16 989
85 28 722
85 34 617
85 44 711
85 58 189
85 72 404
85 79 569
85 83 314
86 9 553
86 16 592
86 24 392
86 27 740
86 33 925
86 40 307
86 49 631
86 62 167
86 66 981
86 69 36
86 77 456
86 98 82
87 27 374
87 37 895
87 38 410
87 56 386
87 90 447
88 6 21
88 7 941
88 12 231
88 16 766
88 17 42
88 24 99
88 33 937
88 34 73
88 51 204
88 52 455
88 66 66
88 68 668
88 86 629
88 97 913
89 3 120
89 18 358
89 21 301
89 29 818
89 33 427
89 55 489
89 59 583
89 96 772
90 5 135
90 13 967
90 25 991
90 41 333
90 42 903
90 53 680
90 75 150
90 79 162
90 82 880
91 1 832
91 3 173
91 10 246
91 18 774
91 33 943
91 48 31
91 51 635
91 60 309
91 73 822
91 83 271
91 86 500
91 94 660
91 96 805
92 4 242
92 6 307
92 19 557
92 26 684
92 29 13
92 34 583
92 54 449
92 81 973
92 86 864
92 96 791
93 5 716
93 16 914
93 17 452
93 45 286
93 49 614
93 61 338
93 63 986
93 71 963
93 77 499
93 87 971
93 98 841
94 6 202
94 13 759
94 32 62
94 41 275
94 60 638
94 74 695
94 76 391
95 17 54
95 24 350
95 27 709
95 42 656
95 51 538
95 58 27
95 60 351
95 66 644
95 82 453
95 90 468
96 7 521
96 16 142
96 47 590
96 57 326
96 73 788
96 78 666
96 84 149
96 85 380
96 98 314
97 24 449
97 33 7
97 36 525
97 37 334
97 42 947
97 43 305
97 70 480
97 75 839
97 82 656
97 93 53
97 98 440
98 25 15
98 35 845
98 45 82
98 71 530
98 82 75
98 83 209
98 88 894
98 94 817
99 7 983
99 21 484
99 24 472
99 28 205
99 29 230
99 31 882
99 34 454
99 54 590
99 61 71
99 78 847
99 79 206
99 86 535
